"accession","gene.name"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
"ABCF3_MOUSE","Abcf3"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABCG2_MOUSE","Abcg2"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABD12_MOUSE","Abhd12"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABEC2_MOUSE","Apobec2"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHD6_MOUSE","Abhd6"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABHGA_MOUSE","Abhd16a"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABI1_MOUSE","Abi1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABLM1_MOUSE","Ablim1"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
"ABR_MOUSE","Abr"
